Name,Full Ticker,Ticker,Trading Country ISO Code,Operating Country ISO Code,Industry,Beta (5 Year),Total Debt,Total Equity,Revenue,Enterprise Value (EV)
Web Blockchain Media Inc.,OTCPK:WEBB,WEBB,USA,USA,Entertainment,,,,,
Virtual Interactive Technologies Corp.,OTCPK:VRVR,VRVR,USA,USA,Entertainment,-0.534,0.751,-0.7333,0.2755,17.1393
"Tld3 Entertainment Group, Inc.",OTCPK:TLDE,TLDE,USA,USA,Entertainment,,,,,
American Picture House Corporation,OTCPK:APHP,APHP,USA,USA,Entertainment,,,,,
HeadsUp Entertainment International Inc.,OTCPK:HDUP,HDUP,USA,CAN,Entertainment,,,,,
Mills Music Trust,OTCPK:MMTR.S,MMTR.S,USA,USA,Entertainment,,,,,
"Hannover House, Inc.",OTCPK:HHSE,HHSE,USA,USA,Entertainment,0.4727,0.765,30.3962,0.4891,15.1575
Personas Social Incorporated,OTCPK:PRSN.F,PRSN.F,USA,CAN,Entertainment,1.0599,1.4558,-0.6145,3.2339,15.8612
"Tapinator, Inc.",OTCPK:TAPM,TAPM,USA,USA,Entertainment,3.4909,0.4658,1.1581,5.3718,13.8919
"SPYR, Inc.",OTCPK:SPYR,SPYR,USA,USA,Entertainment,3.361,3.309,-7.295,-0.003,14.5501
"Broadside Enterprises, Inc.",OTCPK:BRSE,BRSE,USA,USA,Entertainment,,,,,
Alpha Esports Tech Inc.,OTCPK:APET.F,APET.F,USA,CAN,Entertainment,,,,,
GameOn Entertainment Technologies Inc.,OTCPK:GMET.F,GMET.F,USA,CAN,Entertainment,,,,,
SMI Culture & Travel Group Holdings Limited,OTCPK:QJYM.F,QJYM.F,USA,HKG,Entertainment,,,,,
5th Planet Games A/S,OTCPK:FHPG.F,FHPG.F,USA,DNK,Entertainment,1.9203,0.1053,1.7022,0.8935,10.2877
SportsHero Limited,OTCPK:NIRO.F,NIRO.F,USA,AUS,Entertainment,5.7989,0,1.244,0.0405,12.0153
Peer to Peer Network,OTCPK:PTOP,PTOP,USA,USA,Entertainment,,,,,
"Saddle Ranch Media, Inc.",OTCPK:SRMX,SRMX,USA,USA,Entertainment,2.2093,1.6065,0.0456,0.0057,12.0199
China Media Inc.,OTCPK:CHND,CHND,USA,CHN,Entertainment,-0.228,1.0867,-1.4868,,11.0229
"Tarsin Mobile, Inc.",OTCPK:TMIX,TMIX,USA,USA,Entertainment,,,,,
"Anything Technologies Media, Inc.",OTCPK:EXMT,EXMT,USA,USA,Entertainment,,,,,
"InCapta, Inc.",OTCPK:INCT,INCT,USA,USA,Entertainment,,,,,
"AppSoft Technologies, Inc.",OTCPK:ASFT,ASFT,USA,USA,Entertainment,-0.389,0.2817,-0.3297,,8.9747
"Fuego Enterprises, Inc.",OTCPK:FUGI,FUGI,USA,USA,Entertainment,,,,,
"Altavoz Entertainment, Inc.",OTCPK:AVOZ,AVOZ,USA,USA,Entertainment,,,,,
"American Leisure Holdings, Inc.",OTCPK:AMLH,AMLH,USA,USA,Entertainment,,,,,
ePlay Digital Inc.,OTCPK:EPYF.F,EPYF.F,USA,CAN,Entertainment,1.3036,1.046,-0.1996,0.0204,9.2566
"SMC Entertainment, Inc.",OTCPK:SMCE,SMCE,USA,USA,Entertainment,,,,,
"United States Basketball League, Inc.",OTCPK:USBL,USBL,USA,USA,Entertainment,1.6925,0,0.3457,,6.9008
Lotus Bio-Technology Development Corp.,OTCPK:LBTD,LBTD,USA,USA,Entertainment,,,,,
